Year,Quarter,LGA (Local Government Areas),Dwelling Types,Bedroom Numbers,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged,,,
2018,First,Berrigan,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,House,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,First,Berrigan,House,2 Bedrooms,-,-,-,-,53,-,-,-,-,,,
2018,First,Berrigan,House,3 Bedrooms,220,268,296,s,194,16.30%,10.31%,-29.03%,10.00%,,,
2018,First,Berrigan,House,4 or more Bedrooms,-,-,-,-,45,-,-,-,-,,,
2018,First,Berrigan,Other,Total,-,-,-,-,s,-,-,-,-,,,
2018,First,Berrigan,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Other,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Townhouse,Total,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Flat/Unit,Total,120,175,208,s,198,-2.78%,-5.41%,28.57%,28.57%,,,
2018,First,Berrigan,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,First,Berrigan,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Flat/Unit,2 Bedrooms,120,165,205,s,155,-5.71%,-9.59%,56.25%,150.00%,,,
2018,First,Berrigan,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Berrigan,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Total,Total,230,250,280,s,246,4.17%,42.86%,-19.05%,-41.38%,,,
2018,First,Bland,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Total,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,First,Bland,Total,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,First,Bland,Total,2 Bedrooms,-,-,-,-,57,-,-,-,-,,,
2018,First,Bland,Total,3 Bedrooms,239,255,278,s,108,2.00%,0.00%,71.43%,50.00%,,,
2018,First,Bland,Total,4 or more Bedrooms,-,-,-,-,35,-,-,-,-,,,
2018,First,Bland,House,Total,240,260,280,s,150,1.96%,8.33%,-7.14%,-13.33%,,,
2018,First,Bland,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,House,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,House,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,House,3 Bedrooms,-,-,-,-,95,-,-,-,-,,,
2018,First,Bland,House,4 or more Bedrooms,-,-,-,-,33,-,-,-,-,,,
2018,First,Bland,Other,Total,-,-,-,-,s,-,-,-,-,,,
2018,First,Bland,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Other,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Townhouse,Total,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Flat/Unit,Total,-,-,-,-,80,-,-,-,-,,,
2018,First,Bland,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,First,Bland,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Flat/Unit,2 Bedrooms,-,-,-,-,42,-,-,-,-,,,
2018,First,Bland,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bland,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,Total,Total,223,260,310,50,414,-5.45%,4.00%,0.00%,-12.28%,,,
2018,First,Blayney,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,Total,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,First,Blayney,Total,Not Specified,-,-,-,-,33,-,-,-,-,,,
2018,First,Blayney,Total,2 Bedrooms,195,220,260,s,83,-4.35%,0.00%,-15.38%,120.00%,,,
2018,First,Blayney,Total,3 Bedrooms,255,280,310,s,187,-6.67%,12.00%,4.55%,-20.69%,,,
2018,First,Blayney,Total,4 or more Bedrooms,-,-,-,-,85,-,-,-,-,,,
2018,First,Blayney,House,Total,260,288,315,34,292,-4.17%,2.68%,25.93%,-19.05%,,,
2018,First,Blayney,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,House,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,House,2 Bedrooms,-,-,-,-,39,-,-,-,-,,,
2018,First,Blayney,House,3 Bedrooms,260,280,310,s,165,-5.08%,12.00%,25.00%,-28.57%,,,
2018,First,Blayney,House,4 or more Bedrooms,-,-,-,-,75,-,-,-,-,,,
2018,First,Blayney,Other,Total,-,-,-,-,43,-,-,-,-,,,
2018,First,Blayney,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,Other,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,First,Blayney,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,Townhouse,Total,-,-,-,-,s,-,-,-,-,,,
2018,First,Blayney,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,Flat/Unit,Total,-,-,-,-,67,-,-,-,-,,,
2018,First,Blayney,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,First,Blayney,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,Flat/Unit,2 Bedrooms,-,-,-,-,39,-,-,-,-,,,
2018,First,Blayney,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Blayney,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Total,Total,143,170,250,s,160,-24.44%,-15.00%,120.00%,-26.67%,,,
2018,First,Bogan,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Total,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,First,Bogan,Total,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,First,Bogan,Total,2 Bedrooms,-,-,-,-,38,-,-,-,-,,,
2018,First,Bogan,Total,3 Bedrooms,-,-,-,-,57,-,-,-,-,,,
2018,First,Bogan,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Bogan,House,Total,100,170,285,s,98,-43.33%,-15.00%,200.00%,-25.00%,,,
2018,First,Bogan,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,House,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,First,Bogan,House,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,House,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Bogan,House,3 Bedrooms,-,-,-,-,50,-,-,-,-,,,
2018,First,Bogan,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Bogan,Other,Total,-,-,-,-,33,-,-,-,-,,,
2018,First,Bogan,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Other,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,First,Bogan,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Townhouse,Total,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Townhouse,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,First,Bogan,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Flat/Unit,Total,-,-,-,-,s,-,-,-,-,,,
2018,First,Bogan,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Bogan,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bogan,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Total,Total,160,200,250,s,96,0.00%,-9.09%,-8.33%,22.22%,,,
2018,First,Bourke,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Total,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Total,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Total,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Bourke,Total,3 Bedrooms,-,-,-,-,46,-,-,-,-,,,
2018,First,Bourke,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Bourke,House,Total,-,-,-,-,69,-,-,-,-,,,
2018,First,Bourke,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,House,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,House,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Bourke,House,3 Bedrooms,-,-,-,-,39,-,-,-,-,,,
2018,First,Bourke,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Bourke,Other,Total,-,-,-,-,s,-,-,-,-,,,
2018,First,Bourke,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Other,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Townhouse,Total,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Flat/Unit,Total,-,-,-,-,s,-,-,-,-,,,
2018,First,Bourke,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Flat/Unit,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bourke,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Total,Total,-,-,-,-,35,-,-,-,-,,,
2018,First,Brewarrina,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Total,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Total,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Total,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Total,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Brewarrina,Total,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,House,Total,-,-,-,-,s,-,-,-,-,,,
2018,First,Brewarrina,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,House,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,House,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,House,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Brewarrina,House,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Other,Total,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Other,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Townhouse,Total,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Flat/Unit,Total,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Flat/Unit,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Brewarrina,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Broken Hill,Total,Total,190,240,290,156,1626,-3.03%,9.09%,32.20%,-1.27%,,,
2018,First,Broken Hill,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Broken Hill,Total,1 Bedroom,150,165,185,s,179,0.00%,-2.94%,144.44%,-37.14%,,,
2018,First,Broken Hill,Total,Not Specified,-,-,-,-,46,-,-,-,-,,,
2018,First,Broken Hill,Total,2 Bedrooms,190,220,250,37,480,0.00%,10.00%,19.35%,12.12%,,,
2018,First,Broken Hill,Total,3 Bedrooms,220,250,280,73,757,-3.85%,0.00%,15.87%,-6.41%,,,
2018,First,Broken Hill,Total,4 or more Bedrooms,273,350,390,s,163,6.06%,16.67%,46.67%,83.33%,,,
2018,First,Broken Hill,House,Total,220,250,308,122,1214,0.00%,0.00%,28.42%,9.91%,,,
2018,First,Broken Hill,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Broken Hill,House,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,First,Broken Hill,House,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,First,Broken Hill,House,2 Bedrooms,208,235,253,s,295,2.17%,14.63%,16.67%,27.27%,,,
2018,First,Broken Hill,House,3 Bedrooms,220,250,290,68,714,-3.85%,0.00%,21.43%,-9.33%,,,
2018,First,Broken Hill,House,4 or more Bedrooms,270,340,390,s,157,3.03%,13.33%,50.00%,75.00%,,,
2018,First,Broken Hill,Other,Total,-,-,-,-,68,-,-,-,-,,,
2018,First,Broken Hill,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Broken Hill,Other,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,First,Broken Hill,Other,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,First,Broken Hill,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Broken Hill,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Broken Hill,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Broken Hill,Townhouse,Total,-,-,-,-,s,-,-,-,-,,,
2018,First,Broken Hill,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Broken Hill,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Broken Hill,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Broken Hill,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Broken Hill,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Broken Hill,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Broken Hill,Flat/Unit,Total,165,180,190,s,330,5.88%,5.88%,64.71%,-36.36%,,,
2018,First,Broken Hill,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Broken Hill,Flat/Unit,1 Bedroom,150,165,185,s,143,0.00%,-2.94%,142.86%,-48.48%,,,
2018,First,Broken Hill,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Broken Hill,Flat/Unit,2 Bedrooms,-,-,-,-,161,-,-,-,-,,,
2018,First,Broken Hill,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Broken Hill,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Byron,Total,Total,470,600,708,322,2851,1.69%,7.14%,29.32%,3.21%,,,
2018,First,Byron,Total,Bedsitter,-,-,-,-,s,-,-,-,-,,,
2018,First,Byron,Total,1 Bedroom,300,350,413,44,268,-3.45%,-4.11%,144.44%,37.50%,,,
2018,First,Byron,Total,Not Specified,-,-,-,-,114,-,-,-,-,,,
2018,First,Byron,Total,2 Bedrooms,400,470,550,59,663,3.30%,-2.08%,5.36%,-16.90%,,,
2018,First,Byron,Total,3 Bedrooms,550,645,700,150,1274,4.03%,7.50%,25.00%,8.70%,,,
2018,First,Byron,Total,4 or more Bedrooms,650,795,950,63,517,4.61%,13.57%,23.53%,-3.08%,,,
2018,First,Byron,House,Total,550,650,780,208,1639,2.36%,8.33%,30.00%,11.23%,,,
2018,First,Byron,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Byron,House,1 Bedroom,-,-,-,-,35,-,-,-,-,,,
2018,First,Byron,House,Not Specified,-,-,-,-,33,-,-,-,-,,,
2018,First,Byron,House,2 Bedrooms,450,550,620,s,203,22.22%,14.58%,21.05%,-14.81%,,,
2018,First,Byron,House,3 Bedrooms,550,625,700,114,895,2.46%,4.17%,23.91%,22.58%,,,
2018,First,Byron,House,4 or more Bedrooms,650,788,938,62,472,3.62%,12.50%,26.53%,3.33%,,,
2018,First,Byron,Other,Total,328,355,494,s,280,-16.09%,-26.04%,-6.67%,-46.15%,,,
2018,First,Byron,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Byron,Other,1 Bedroom,-,-,-,-,49,-,-,-,-,,,
2018,First,Byron,Other,Not Specified,-,-,-,-,62,-,-,-,-,,,
2018,First,Byron,Other,2 Bedrooms,-,-,-,-,52,-,-,-,-,,,
2018,First,Byron,Other,3 Bedrooms,-,-,-,-,90,-,-,-,-,,,
2018,First,Byron,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Byron,Townhouse,Total,495,600,700,39,291,-0.83%,-7.69%,8.33%,14.71%,,,
2018,First,Byron,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Byron,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,First,Byron,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Byron,Townhouse,2 Bedrooms,480,500,575,s,76,-9.09%,-3.85%,-15.38%,0.00%,,,
2018,First,Byron,Townhouse,3 Bedrooms,600,650,723,s,180,3.17%,-3.70%,9.52%,15.00%,,,
2018,First,Byron,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Byron,Flat/Unit,Total,350,410,490,61,641,-7.87%,-8.89%,60.53%,-6.15%,,,
2018,First,Byron,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Byron,Flat/Unit,1 Bedroom,300,350,413,s,171,-11.95%,-4.11%,108.33%,25.00%,,,
2018,First,Byron,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,First,Byron,Flat/Unit,2 Bedrooms,350,420,463,s,332,-6.67%,-6.67%,9.09%,-4.00%,,,
2018,First,Byron,Flat/Unit,3 Bedrooms,570,685,730,s,109,0.74%,29.25%,266.67%,-35.29%,,,
2018,First,Byron,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,Total,Total,220,265,300,45,421,6.00%,12.77%,2.27%,-2.17%,,,
2018,First,Cabonne,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,Total,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,First,Cabonne,Total,Not Specified,-,-,-,-,31,-,-,-,-,,,
2018,First,Cabonne,Total,2 Bedrooms,200,225,260,s,111,12.50%,12.50%,9.09%,33.33%,,,
2018,First,Cabonne,Total,3 Bedrooms,220,240,300,s,170,-5.88%,4.35%,-22.73%,-10.53%,,,
2018,First,Cabonne,Total,4 or more Bedrooms,290,350,420,s,84,2.94%,9.38%,85.71%,8.33%,,,
2018,First,Cabonne,House,Total,220,263,323,40,330,0.96%,5.00%,11.11%,-2.44%,,,
2018,First,Cabonne,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,House,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,First,Cabonne,House,2 Bedrooms,-,-,-,-,72,-,-,-,-,,,
2018,First,Cabonne,House,3 Bedrooms,220,240,300,s,158,-7.69%,4.35%,-10.53%,-10.53%,,,
2018,First,Cabonne,House,4 or more Bedrooms,290,350,420,s,80,2.94%,2.94%,85.71%,18.18%,,,
2018,First,Cabonne,Other,Total,-,-,-,-,s,-,-,-,-,,,
2018,First,Cabonne,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,Other,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,First,Cabonne,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,Townhouse,Total,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,Flat/Unit,Total,-,-,-,-,59,-,-,-,-,,,
2018,First,Cabonne,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Cabonne,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
